iter	RMSE
0	1.160459768
1	1.150740602
2	1.141502271
3	1.132738201
4	1.124437081
5	1.116491294
6	1.108844684
7	1.101576198
8	1.094709489
9	1.088190201
10	1.082024698
11	1.076058723
12	1.070502115
13	1.065150238
14	1.059954962
15	1.055134203
16	1.050539276
17	1.046258911
18	1.04212976
19	1.03817338
20	1.03432886
21	1.030682774
22	1.027062674
23	1.023571816
24	1.020349016
25	1.017249702
26	1.014294259
27	1.011501088
28	1.008814257
29	1.006324382
30	1.00392491
31	1.001684077
32	0.9994379673
33	0.9972983801
34	0.9953247795
35	0.9934502297
36	0.991681892
37	0.9899877076
38	0.9884000141
39	0.9868390543
40	0.9853477478
41	0.9839110921
42	0.982616996
43	0.9812870492
44	0.9800768053
45	0.978927158
46	0.9778075387
47	0.9767269137
48	0.9757116687
49	0.9747298682
50	0.973815137
51	0.9729104847
52	0.9720350741
53	0.971224523
54	0.9704436059
55	0.9697479137
56	0.9690439226
57	0.9683634227
58	0.9677431893
59	0.9670426913
60	0.9664181055
61	0.9658332065
62	0.9652982815
63	0.9647226593
64	0.9641981604
65	0.9636972455
66	0.9631777109
67	0.9627028372
68	0.962249754
69	0.9618455367
70	0.9614752686
71	0.9611153822
72	0.9607220015
73	0.9604000058
74	0.960048254
75	0.9597113754
76	0.9593758929
77	0.9590681512
78	0.9587386577
79	0.9584690421
80	0.9581966785
81	0.9579000651
82	0.9576213049
83	0.9573543733
84	0.9571097132
85	0.9568864301
86	0.9566414136
87	0.9563888858
88	0.9561952664
89	0.9559886161
90	0.9557623834
91	0.9555556001
92	0.9553673059
93	0.9551802235
94	0.9549910064
95	0.9548306494
96	0.9546739733
97	0.9545085797
