iter	Passed	Remaining
0	92	92679
1	126	62970
2	157	52247
3	192	47868
4	226	45039
5	270	44798
6	311	44129
7	342	42508
8	375	41347
9	412	40832
10	448	40327
11	491	40434
12	521	39621
13	552	38887
14	589	38709
15	624	38389
16	655	37892
17	701	38276
18	741	38279
19	778	38124
20	867	40421
21	899	40002
22	932	39603
23	977	39739
24	1016	39652
25	1056	39574
26	1092	39388
27	1139	39555
28	1190	39848
29	1243	40190
30	1289	40293
31	1322	40006
32	1371	40181
33	1400	39803
34	1429	39406
35	1458	39068
36	1490	38799
37	1520	38502
38	1553	38284
39	1600	38407
40	1636	38288
41	1678	38282
42	1726	38419
43	1768	38435
44	1809	38403
45	1866	38702
46	1907	38670
47	1946	38601
48	1981	38447
49	2024	38468
50	2056	38264
51	2094	38178
52	2133	38115
53	2170	38029
54	2216	38085
55	2251	37949
56	2284	37790
57	2318	37659
58	2393	38182
59	2491	39034
60	2523	38850
61	2561	38754
62	2602	38701
63	2643	38657
64	2675	38488
65	2708	38326
66	2744	38220
67	2773	38017
68	2807	37881
69	2845	37798
70	2911	38094
71	2943	37937
72	2974	37775
73	3012	37698
74	3057	37715
75	3100	37696
76	3141	37655
77	3188	37689
78	3228	37643
79	3289	37834
80	3328	37764
81	3364	37669
82	3422	37812
83	3461	37741
84	3494	37618
85	3539	37616
86	3572	37490
87	3602	37336
88	3640	37260
89	3673	37139
90	3704	37006
91	3757	37084
92	3799	37056
93	3840	37015
94	3885	37015
95	3935	37062
96	3970	36961
97	4021	37017
